user.id,image,emotion
628,facial-expressions_2868588k.jpg,anger
628,facial-expressions_2868585k.jpg,surprise
628,facial-expressions_2868584k.jpg,disgust
302,Abdullah_Nasseef_0001.jpg,surprise
302,Adam_Mair_0001.jpg,surprise
302,Alain_Cervantes_0001.jpg,sadness
302,Alan_Greenspan_0003.jpg,surprise
302,Alejandro_Toledo_0004.jpg,anger
302,Alessandra_Cerna_0001.jpg,sadness
302,Alexander_Losyukov_0003.jpg,sadness
302,Alexander_Lukashenko_0001.jpg,anger
302,Alicia_Hollowell_0001.jpg,anger
302,Allen_Iverson_0001.jpg,surprise
302,Allison_Janney_0001.jpg,surprise
302,Alvaro_Noboa_0002.jpg,anger
302,Alvaro_Silva_Calderon_0001.jpg,surprise
302,Alvaro_Uribe_0001.jpg,surprise
302,Alvaro_Uribe_0014.jpg,surprise
302,Al_Gore_0002.jpg,anger
302,Al_Sharpton_0005.jpg,surprise
302,Amanda_Coetzer_0001.jpg,sadness
302,Amber_Frey_0001.jpg,sadness
302,Amelie_Mauresmo_0002.jpg,surprise
302,Amelie_Mauresmo_0005.jpg,surprise
302,Amelie_Mauresmo_0009.jpg,surprise
302,Amelie_Mauresmo_0014.jpg,surprise
302,Amy_Gale_0001.jpg,sadness
302,Anastasia_Myskina_0001.jpg,anger
302,Anastasia_Myskina_0002.jpg,surprise
302,Anastasia_Myskina_0003.jpg,anger
302,Anders_Fogh_Rasmussen_0001.jpg,surprise
302,Andreas_Vinciguerra_0001.jpg,surprise
302,Andrew_Shutley_0001.jpg,sadness
302,Andre_Agassi_0012.jpg,surprise
302,Andre_Agassi_0014.jpg,sadness
302,Andre_Agassi_0034.jpg,sadness
302,Anette_Hosoi_0001.jpg,sadness
302,Angelina_Jolie_0005.jpg,anger
302,Anna_Chicherova_0001.jpg,surprise
302,Anna_Jones_0001.jpg,sadness
302,Anna_Kournikova_0011.jpg,sadness
302,Anne_Donovan_0001.jpg,surprise
302,Antonio_Banderas_0004.jpg,surprise
302,Antonio_Cassano_0001.jpg,sadness
302,Aram_Adler_0001.jpg,surprise
302,Armando_Carrillo_0001.jpg,sadness
302,Arnaud_Lagardere_0001.jpg,sadness
302,Arnold_Schwarzenegger_0023.jpg,anger
302,Arnold_Schwarzenegger_0024.jpg,surprise
302,Arnold_Schwarzenegger_0032.jpg,surprise
302,Aron_Ralston_0001.jpg,surprise
302,Arthur_Johnson_0001.jpg,surprise
302,Atal_Bihari_Vajpayee_0010.jpg,anger
302,Atal_Bihari_Vajpayee_0021.jpg,surprise
302,Augustin_Calleri_0004.jpg,surprise
302,Aung_San_Suu_Kyi_0002.jpg,sadness
302,Barry_Alvarez_0001.jpg,surprise
302,Begum_Khaleda_Zia_0002.jpg,surprise
302,Ben_Braun_0001.jpg,anger
302,Beth_Blough_0001.jpg,sadness
302,Beth_Jones_0002.jpg,sadness
302,Betsy_Coffin_0001.jpg,sadness
302,Beyonce_Knowles_0001.jpg,surprise
302,Billy_Crystal_0004.jpg,anger
302,Billy_Donovan_0001.jpg,anger
302,Bill_Carmody_0001.jpg,surprise
302,Bill_Frist_0004.jpg,surprise
302,Bill_Graham_0003.jpg,surprise
302,Bill_Graham_0005.jpg,anger
302,Bill_Self_0001.jpg,surprise
302,Bill_Simon_0004.jpg,surprise
dwdii,Bill_Simon_0012.jpg,surprise
302,Bill_Simon_0014.jpg,surprise
